
Name                                                                   AppID                                                                                                               
Uninstall                                                              {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Common Files\Wrye Bash\uninstall.exe                                         
????????? Dark Souls Remastered                                        {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Dark Souls Remastered\DarkSoulsRemastered.exe                                
???????????????? Dark Souls Remastered                                 {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Dark Souls Remastered\unins000.exe                                           
????????? Elden Ring                                                   {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Elden Ring\Game\eldenring.exe                                                
????????? Ghost of Tsushima DIRECTORS CUT                              {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Ghost of Tsushima DIRECTORS CUT\GhostOfTsushima.exe                          
????????? God of War                                                   {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\God of War\GoW.exe                                                           
???????????????? God of War                                            {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\God of War\unins000.exe                                                      
?????? II ????????????                                                 {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Gothic II\Gothic_II_Classic.bat                                              
?????? II ???? ??????                                                  {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Gothic II\System\GothicStarter.exe                                           
???????????????? ?????? II ??????? ???????                             {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Gothic II\unins000.exe                                                       
????????? Humans are not that against Lizardwomen                      {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Humans are not that against Lizardwomen\Lizardwomen.exe                      
????????? Kena Bridge of Spirits                                       {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Kena Bridge of Spirits\Kena.exe                                              
????????? Mafia Definitive Edition                                     {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Mafia Definitive Edition\mafiadefinitiveedition.exe                          
????????? Mafia II Definitive Edition                                  {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Mafia II Definitive Edition\pc\Mafia II Definitive Edition.exe               
????????? Launcher Mafia II                                            {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Mafia II Definitive Edition\pc\Mafia2Launcher\Launcher.exe                   
???????????????? Mafia II Definitive Edition                           {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Mafia II Definitive Edition\unins000.exe                                     
Games for Windows Marketplace                                          {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Microsoft Games for Windows - LIVE\Client\GFWLive.exe                        
Excel 2013                                                             {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Microsoft Office\Office15\EXCEL.EXE                                          
?????? ?????????? ??? Office 2013                                      {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Microsoft Office\Office15\msoev.exe                                          
?????? ??????????? ?????????? ??? Office 2013                          {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Microsoft Office\Office15\msotd.exe                                          
Publisher 2013                                                         {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Microsoft Office\Office15\MSPUB.EXE                                          
PowerPoint 2013                                                        {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Microsoft Office\Office15\POWERPNT.EXE                                       
Word 2013                                                              {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Microsoft Office\Office15\WINWORD.EXE                                        
????????? Mount and Blade Warband                                      {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Mount and Blade Warband\mb_warband.exe                                       
???????????????? Mount and Blade Warband                               {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Mount and Blade Warband\unins000.exe                                         
NekoPara Vol.1                                                         {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\NekoPara Vol.1\nekopara_vol1.exe                                             
Oblivion                                                               {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Oblivion\OblivionLauncher.exe                                                
??????? ????                                                           {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Oblivion\unins000.exe                                                        
PlanetVPN                                                              {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\PlanetVPN\PlanetVPN.exe                                                      
?????? Need for Speed - Most Wanted                                    {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\R.G. Mechanics\Need for Speed - Most Wanted\speed.exe                        
Steam                                                                  {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Steam\Steam.exe                                                              
Website                                                                {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Steam\steamapps\common\AOM_DC\Afraid of Monsters Director's Cut.url          
Uninstall                                                              {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Steam\steamapps\common\AOM_DC\uninstaomdc.exe                                
? ???????? Lost Echo                                                   {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Steam\steamapps\common\Cry of Fear\cryoffear\LOST ECHO - READ ME.txt         
??????? ?????? CoF                                                     {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Steam\steamapps\common\Cry of Fear\cryoffear\README v1.6 Game Changes Rus.txt
? ???????????? CoF                                                     {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Steam\steamapps\common\Cry of Fear\cryoffear\? ???????????? CoF.rtf          
????????? The Elder Scrolls V Skyrim - Anniversary Edition             {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\The Elder Scrolls V Skyrim - Anniversary Edition\SkyrimSE.exe                
????????? The Elder Scrolls V Skyrim - Anniversary Edition             {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\The Elder Scrolls V Skyrim - Anniversary Edition\SkyrimSELauncher.exe        
???????????????? The Elder Scrolls V Skyrim - Anniversary Edition      {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\The Elder Scrolls V Skyrim - Anniversary Edition\unins000.exe                
????????? The Long Dark                                                {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\The Long Dark\tld.exe                                                        
ODBC Data Sources (32-bit)                                             {D65231B0-B2F1-4857-A4CE-A8E7C6EA7D27}\odbcad32.exe                                                                 
Windows PowerShell (x86)                                               {D65231B0-B2F1-4857-A4CE-A8E7C6EA7D27}\WindowsPowerShell\v1.0\powershell.exe                                        
Windows PowerShell ISE (x86)                                           {D65231B0-B2F1-4857-A4CE-A8E7C6EA7D27}\WindowsPowerShell\v1.0\PowerShell_ISE.exe                                    
???????? ???????                                                       {F38BF404-1D43-42F2-9305-67DE0B28FC23}\regedit.exe                                                                  
?????????                                                              windows.immersivecontrolpanel_cw5n1h2txyewy!microsoft.windows.immersivecontrolpanel                                 
